epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8856,1.28653,3.60137,3.09818,1.41256,0.00333,1,0.87893,0.61871,0.00333,1,0.86906,0.69239,0.99204,1.58573,3.30976,1.3413,0.00014,0.00014,0.00014
2,97.5161,1.18718,2.17556,1.9964,1.2755,0.00333,1,0.97571,0.80941,0.00333,1,0.86329,0.58895,0.74325,2.24667,2.98924,1.24815,0.00029406,0.00029406,0.00029406
3,146.102,1.17412,1.83151,1.60394,1.26053,0.00333,1,0.995,0.75043,0.00333,1,0.995,0.72393,0.87653,1.32935,2.97174,1.24758,0.000441784,0.000441784,0.000441784
4,194.503,1.12522,1.76746,1.45998,1.22733,1,0.64078,0.96071,0.80084,1,0.64078,0.96071,0.73588,0.68484,1.59307,2.68343,1.18231,0.000583172,0.000583172,0.000583172
5,244.342,1.14586,1.7162,1.41324,1.21758,1,0.49763,0.98,0.80247,1,0.48561,0.91279,0.714,0.74808,1.9012,2.79264,1.25378,0.000718224,0.000718224,0.000718224
6,293.317,1.06581,1.61028,1.36324,1.17077,1,0.58897,0.78381,0.53956,1,0.61232,0.79771,0.59549,1.14273,3.01462,2.99908,1.51863,0.00084694,0.00084694,0.00084694
7,343.536,1.20238,1.73251,1.44062,1.2708,1,0.79422,0.95023,0.68616,1,0.78856,0.87515,0.59759,1.07024,3.87209,2.69312,1.71866,0.00096932,0.00096932,0.00096932
8,395.539,1.09208,1.52312,1.26374,1.16881,0.97768,1,0.995,0.67188,0.97768,1,0.995,0.68312,1.0373,2.0032,1.84949,1.41619,0.00108536,0.00108536,0.00108536
9,445.133,1.12027,1.55564,1.29471,1.19731,1,0.96676,0.995,0.80426,0.90695,0.88771,0.89697,0.64647,0.67665,2.63738,1.73501,1.22864,0.00119507,0.00119507,0.00119507
10,494.906,1.10822,1.56758,1.36271,1.17882,0.9877,0.81818,0.94116,0.65089,0.9877,0.81818,0.85801,0.62257,0.9658,3.32477,2.00963,1.34956,0.00129844,0.00129844,0.00129844
