epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9816,1.48201,3.34033,1.41164,0.006,1,0.04055,0.0217,1.13077,2.96868,1.1849,0.00014,0.00014,0.00014
2,13.2055,1.24225,2.8985,1.19213,0.005,1,0.90745,0.72488,1.00127,2.56063,1.11073,0.00029703,0.00029703,0.00029703
3,16.32,1.24699,2.23112,1.14212,0.00491,1,0.86329,0.62825,0.96935,2.49311,1.10093,0.000450892,0.000450892,0.000450892
4,18.8386,1.2754,1.81602,1.16804,0.79982,0.72654,0.86698,0.47358,1.11584,2.32232,1.07031,0.000601586,0.000601586,0.000601586
5,20.7501,1.2287,1.30975,1.15912,0.77814,0.63786,0.75457,0.39569,1.0954,2.01283,1.15109,0.000749112,0.000749112,0.000749112
6,22.6553,1.29176,1.2527,1.24229,0.73799,0.81818,0.89964,0.47286,1.11069,1.98374,1.14537,0.00089347,0.00089347,0.00089347
7,24.4857,1.35614,1.29286,1.25981,1,0.34229,0.971,0.65074,0.94393,2.00041,1.02057,0.00103466,0.00103466,0.00103466
8,26.3281,1.26447,1.23283,1.21446,1,0.83461,0.9446,0.66668,0.90985,1.74429,1.0721,0.00117268,0.00117268,0.00117268
9,28.5348,1.20649,1.11262,1.2297,1,0.9014,0.9875,0.74185,0.812,1.24862,1.10571,0.00130754,0.00130754,0.00130754
10,31.2864,1.17496,1.06799,1.2336,1,0.88381,0.995,0.78966,0.77551,1.23832,1.0776,0.00143922,0.00143922,0.00143922
11,33.4161,1.28146,1.14627,1.23932,0.90753,0.81818,0.91482,0.72687,0.83017,1.2775,1.09057,0.00156774,0.00156774,0.00156774
12,35.2499,1.18953,1.08846,1.21064,0.76514,0.88975,0.91338,0.73933,0.78923,1.06939,1.02249,0.00169309,0.00169309,0.00169309
13,37.0491,1.22593,1.04923,1.20708,1,0.87186,0.971,0.74031,0.82844,0.95824,1.05591,0.0017624,0.0017624,0.0017624
14,38.8884,1.21146,1.06575,1.17784,0.88623,0.81818,0.95171,0.7221,0.91123,1.04882,1.1256,0.0017426,0.0017426,0.0017426
15,40.7185,1.04232,0.95583,1.10808,1,0.97511,0.995,0.83123,0.74854,1.01821,1.10145,0.0017228,0.0017228,0.0017228
16,43.147,1.13608,0.99054,1.17606,0.84228,0.97254,0.96731,0.75252,0.87645,0.93521,1.1021,0.001703,0.001703,0.001703
17,45.8267,1.18694,0.98782,1.1713,0.99285,0.90909,0.9875,0.77769,0.75898,0.75118,1.03426,0.0016832,0.0016832,0.0016832
18,47.8334,1.13311,0.94218,1.15429,0.9948,1,0.995,0.73806,0.82121,0.80007,1.05807,0.0016634,0.0016634,0.0016634
19,49.6356,1.06739,0.96843,1.09968,0.9104,1,0.9875,0.76791,0.83142,0.82943,1.02233,0.0016436,0.0016436,0.0016436
20,51.49,1.12442,0.93229,1.16717,0.90464,1,0.965,0.75253,0.70787,0.91461,1.01377,0.0016238,0.0016238,0.0016238
21,53.3097,1.08268,0.9342,1.13519,0.90741,0.89225,0.95051,0.75976,0.78835,0.92935,1.0218,0.001604,0.001604,0.001604
22,55.1097,1.11242,0.91132,1.17612,0.98105,1,0.995,0.73935,0.83883,0.85535,1.08485,0.0015842,0.0015842,0.0015842
23,57.5525,1.13778,0.97063,1.15157,1,0.99806,0.995,0.83109,0.70646,0.69863,1.03332,0.0015644,0.0015644,0.0015644
24,60.1654,1.19279,0.91111,1.16535,0.88577,0.70686,0.77624,0.51612,1.28316,1.38528,1.48336,0.0015446,0.0015446,0.0015446
25,62.0735,1.1297,0.86786,1.12793,0.85762,0.63636,0.7894,0.51116,1.19548,1.19175,1.27821,0.0015248,0.0015248,0.0015248
26,63.9016,1.0184,0.81924,1.11007,0.90753,0.89348,0.95869,0.78688,0.67331,0.78222,1.03615,0.001505,0.001505,0.001505
27,65.7385,1.01755,0.86311,1.09393,0.90999,0.91987,0.9725,0.73098,0.73781,0.7981,1.02179,0.0014852,0.0014852,0.0014852
28,67.5695,0.99417,0.81412,1.11492,0.91651,0.99814,0.9875,0.78577,0.65928,0.64872,0.98121,0.0014654,0.0014654,0.0014654
29,69.5236,1.02788,0.82356,1.09753,1,0.9971,0.995,0.76209,0.66391,0.63803,1.00759,0.0014456,0.0014456,0.0014456
30,72.1434,1.00463,0.80337,1.08795,0.99318,1,0.995,0.77213,0.65551,0.60799,1.03195,0.0014258,0.0014258,0.0014258
31,74.5943,0.93448,0.89063,1.06677,0.99315,1,0.995,0.77942,0.63019,0.59218,0.99063,0.001406,0.001406,0.001406
32,76.4992,0.95242,0.77051,1.0819,0.99378,1,0.995,0.78393,0.70592,0.69653,1.02413,0.0013862,0.0013862,0.0013862
