epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.269,1.88826,3.20435,3.55928,1.37038,0.00766,0.36364,0.01332,0.00428,0.01149,0.54545,0.03474,0.01167,1.61711,2.39215,3.45999,1.35213,0.00014,0.00014,0.00014
2,21.4781,1.52238,2.15151,3.06458,1.19091,0.01716,1,0.0986,0.06433,0.01716,1,0.0986,0.05551,1.09866,1.72665,3.07019,0.90256,0.000298515,0.000298515,0.000298515
3,23.5902,1.53025,1.9349,1.8982,1.15071,0.01705,1,0.83652,0.46849,0.01705,1,0.83652,0.63724,1.10751,1.6172,2.65184,1.00209,0.000455446,0.000455446,0.000455446
4,26.2693,1.46603,1.97261,1.37691,1.12796,0.90239,0.84207,0.97297,0.67927,0.90239,0.84207,0.97297,0.60305,1.0548,2.12936,1.80805,0.90927,0.000610793,0.000610793,0.000610793
5,28.6505,1.34919,1.67882,0.99796,1.04863,1,0.89334,0.9875,0.61482,1,0.89334,0.9875,0.52573,1.20361,2.9329,1.62433,0.98375,0.000764556,0.000764556,0.000764556
6,30.6478,1.55389,1.74339,1.11743,1.13541,0.95712,1,0.995,0.55672,0.87547,0.90909,0.88122,0.44145,1.44519,2.25552,1.75705,1.1981,0.000916735,0.000916735,0.000916735
7,32.5947,1.3994,1.65006,1.0518,1.13864,0.98272,0.90909,0.9875,0.65699,0.88444,0.81818,0.95171,0.53967,1.24723,2.00384,1.33094,1.21226,0.00106733,0.00106733,0.00106733
8,34.5419,1.44388,1.5265,0.99011,1.12517,0.80367,0.81818,0.95643,0.57905,0.80367,0.81818,0.95643,0.65594,1.40026,2.00384,1.31483,1.26697,0.00121634,0.00121634,0.00121634
9,36.4853,1.33179,1.53841,0.96695,1.11096,0.90066,0.90909,0.95117,0.56369,0.90066,0.90909,0.95117,0.53124,1.37892,2.27319,1.41985,1.20403,0.00136377,0.00136377,0.00136377
10,38.8936,1.29732,1.48359,0.92684,1.08468,1,0.9888,0.995,0.60527,0.90859,0.90409,0.85551,0.51367,1.45484,2.33759,1.19636,1.34693,0.00150961,0.00150961,0.00150961
