epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5258,1.43376,3.42193,1.41258,0.00694,1,0.04048,0.02482,1.16254,3.02993,1.27629,0.00014,0.00014,0.00014
2,13.5229,1.30238,2.52349,1.24161,0.00541,1,0.79719,0.45257,0.81631,2.52713,0.97018,0.00029703,0.00029703,0.00029703
3,15.4078,1.26086,1.50538,1.16669,1,0.90485,0.995,0.73806,0.76257,2.0767,0.92206,0.000450892,0.000450892,0.000450892
4,17.8663,1.20732,1.20534,1.14407,1,0.83499,0.9875,0.78159,0.79303,1.65677,0.94349,0.000601586,0.000601586,0.000601586
5,20.3476,1.10492,1.11599,1.09999,0.99729,0.81818,0.85689,0.67361,0.91111,1.29737,1.10542,0.000749112,0.000749112,0.000749112
6,22.063,1.2372,1.17634,1.16286,1,0.88155,0.98115,0.73854,1.02733,1.34859,1.08578,0.00089347,0.00089347,0.00089347
7,23.6729,1.26228,1.08748,1.23112,0.95287,0.90909,0.9875,0.77226,0.91269,1.45503,1.09523,0.00103466,0.00103466,0.00103466
8,25.3045,1.25488,1.0854,1.19466,1,0.90506,0.995,0.80525,0.78384,1.19791,1.06705,0.00117268,0.00117268,0.00117268
9,27.1124,1.27815,1.02683,1.20773,1,0.90814,0.995,0.80411,0.83604,0.82553,1.09953,0.00130754,0.00130754,0.00130754
10,28.7287,1.23036,0.98387,1.17417,1,0.90153,0.98115,0.76994,0.82316,0.96296,1.09735,0.00143922,0.00143922,0.00143922
11,30.4801,1.25773,1.02926,1.19978,0.99645,0.81818,0.88778,0.64655,1.10581,1.13347,1.20385,0.00156774,0.00156774,0.00156774
12,32.8259,1.17414,1.02176,1.16632,0.99212,0.81818,0.94824,0.72159,0.78898,0.78251,1.03888,0.00169309,0.00169309,0.00169309
13,35.5848,1.20578,0.99025,1.16492,0.99358,0.81818,0.96731,0.7975,0.87099,0.9173,1.17187,0.0017624,0.0017624,0.0017624
14,37.2052,1.17494,0.98087,1.15355,0.9891,0.81818,0.89694,0.76492,0.74623,0.87187,1.05661,0.0017426,0.0017426,0.0017426
15,38.7764,1.13967,0.95098,1.15971,0.9151,1,0.98,0.79808,0.86231,0.94982,1.09106,0.0017228,0.0017228,0.0017228
16,40.4292,1.21075,0.99591,1.20138,0.89516,0.77855,0.90825,0.60302,1.03245,1.14236,1.20361,0.001703,0.001703,0.001703
17,42.0681,1.16539,0.94102,1.15262,0.96825,0.81818,0.95643,0.66095,1.00478,0.9996,1.18272,0.0016832,0.0016832,0.0016832
18,43.6427,1.14385,0.9262,1.14892,0.9051,0.90909,0.95051,0.66426,1.03223,1.01222,1.23142,0.0016634,0.0016634,0.0016634
19,45.7938,1.04319,0.89602,1.08758,0.98306,0.81818,0.92357,0.71068,0.96023,1.26165,1.15248,0.0016436,0.0016436,0.0016436
20,48.2218,1.14488,0.86488,1.13328,0.91406,0.81818,0.93,0.51719,1.60863,1.22036,1.51106,0.0016238,0.0016238,0.0016238
21,50.0697,1.15381,0.89143,1.13318,1,0.88648,0.971,0.75262,0.81308,1.02752,1.11556,0.001604,0.001604,0.001604
22,51.6912,1.16198,0.91514,1.16363,0.97597,0.90909,0.9875,0.73471,0.87342,1.25724,1.16448,0.0015842,0.0015842,0.0015842
23,53.286,1.18201,0.87724,1.15807,0.97064,1,0.995,0.73053,1.03476,0.77371,1.2023,0.0015644,0.0015644,0.0015644
24,54.8354,1.17334,0.86835,1.13614,0.9146,1,0.9875,0.80756,0.77633,0.78015,1.06289,0.0015446,0.0015446,0.0015446
25,56.5644,1.05724,0.81466,1.08646,0.99015,1,0.995,0.82229,0.77018,0.62134,1.02742,0.0015248,0.0015248,0.0015248
26,58.2085,1.01491,0.76719,1.09559,0.99233,1,0.995,0.8019,0.76162,0.62774,1.00177,0.001505,0.001505,0.001505
27,60.4599,1.01645,0.75327,1.06207,1,0.99599,0.995,0.83964,0.77115,0.66096,0.99935,0.0014852,0.0014852,0.0014852
28,62.7823,0.95105,0.76409,1.07112,0.99452,1,0.995,0.79308,0.7006,0.5712,1.00125,0.0014654,0.0014654,0.0014654
29,64.4362,1.05377,0.75844,1.07956,0.99363,1,0.995,0.80934,0.74713,0.53145,1.00166,0.0014456,0.0014456,0.0014456
30,66.0099,0.98237,0.73643,1.07842,0.99645,1,0.995,0.7667,0.85565,0.54533,1.11425,0.0014258,0.0014258,0.0014258
31,67.6883,0.99531,0.83687,1.06499,0.99801,1,0.995,0.75302,0.84086,0.49128,1.14232,0.001406,0.001406,0.001406
32,69.2952,0.99375,0.72793,1.07742,1,0.99546,0.995,0.75205,0.99913,0.62073,1.19162,0.0013862,0.0013862,0.0013862
33,70.8864,1.05668,0.76159,1.09437,1,0.99408,0.995,0.82857,0.74251,0.58056,1.05934,0.0013664,0.0013664,0.0013664
34,72.9349,0.98207,0.72609,1.06661,0.99342,0.90909,0.9875,0.84766,0.69098,0.58366,1.02886,0.0013466,0.0013466,0.0013466
35,75.4104,0.95685,0.72283,1.04486,0.99309,0.90909,0.96,0.7911,0.66887,0.59907,0.99955,0.0013268,0.0013268,0.0013268
36,77.5163,0.96801,0.71169,1.02983,0.99244,0.90909,0.9545,0.80339,0.59929,0.57307,0.98235,0.001307,0.001307,0.001307
